"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 1980  To:  Dec 31, 2021",,,,
Ranking by Gender & Year,First Name,Frequency,Gender,Year
491,Clarke,3,Boy,1981
491,Claude,3,Boy,1981
491,Clay,3,Boy,1981
491,Dalen,3,Boy,1981
491,Damon,3,Boy,1981
491,Darel,3,Boy,1981
491,Darian,3,Boy,1981
491,Dario,3,Boy,1981
491,Dayton,3,Boy,1981
491,Derick,3,Boy,1981
491,Deryk,3,Boy,1981
491,Diego,3,Boy,1981
491,Dillon,3,Boy,1981
491,Don,3,Boy,1981
491,Dustan,3,Boy,1981
491,Edgar,3,Boy,1981
491,Elias,3,Boy,1981
491,Elijah,3,Boy,1981
491,Elliott,3,Boy,1981
491,Emery,3,Boy,1981
491,Erin,3,Boy,1981
491,Fabian,3,Boy,1981
491,Garnet,3,Boy,1981
491,Gerard,3,Boy,1981
491,Gilles,3,Boy,1981
491,Hai,3,Boy,1981
491,Hardeep,3,Boy,1981
491,Iain,3,Boy,1981
491,Jade,3,Boy,1981
491,Jadon,3,Boy,1981
491,Jagdeep,3,Boy,1981
491,Jake,3,Boy,1981
491,Jamal,3,Boy,1981
491,Jan,3,Boy,1981
491,Jaret,3,Boy,1981
491,Jarvis,3,Boy,1981
491,Jasen,3,Boy,1981
491,Jensen,3,Boy,1981
491,Jeramy,3,Boy,1981
491,Jereme,3,Boy,1981
491,Jeremie,3,Boy,1981
491,Jeromy,3,Boy,1981
491,Jerrid,3,Boy,1981
491,Johann,3,Boy,1981
491,John-Paul,3,Boy,1981
491,Julio,3,Boy,1981
491,Kalil,3,Boy,1981
491,Kevan,3,Boy,1981
491,Khaled,3,Boy,1981
491,Kieran,3,Boy,1981
491,Kirby,3,Boy,1981
491,Kodie,3,Boy,1981
491,Kraig,3,Boy,1981
491,Kristian,3,Boy,1981
491,Lars,3,Boy,1981
491,Leighton,3,Boy,1981
491,Lester,3,Boy,1981
491,Lewis,3,Boy,1981
491,Lincoln,3,Boy,1981
491,Lindsay,3,Boy,1981
491,Lowell,3,Boy,1981
491,Melvin,3,Boy,1981
491,Monty,3,Boy,1981
491,Najib,3,Boy,1981
491,Nevin,3,Boy,1981
491,Oscar,3,Boy,1981
491,Rahul,3,Boy,1981
491,Reagan,3,Boy,1981
491,Ricardo,3,Boy,1981
491,Roland,3,Boy,1981
491,Royce,3,Boy,1981
491,Rusty,3,Boy,1981
491,Rylan,3,Boy,1981
491,Ryley,3,Boy,1981
491,Sam,3,Boy,1981
491,Sameer,3,Boy,1981
491,Scotty,3,Boy,1981
491,Shamus,3,Boy,1981
491,Shannon,3,Boy,1981
491,Skyler,3,Boy,1981
491,Stacey,3,Boy,1981
491,Stefano,3,Boy,1981
491,Tarek,3,Boy,1981
491,Tom,3,Boy,1981
491,Tomas,3,Boy,1981
491,Tracy,3,Boy,1981
491,Trever,3,Boy,1981
491,Vance,3,Boy,1981
491,Vernon,3,Boy,1981
491,Vikram,3,Boy,1981
491,Wendell,3,Boy,1981
491,Wyatt,3,Boy,1981
607,Abdallah,2,Boy,1981
607,Abraham,2,Boy,1981
607,Adil,2,Boy,1981
607,Akinori,2,Boy,1981
607,Alastair,2,Boy,1981
607,Alec,2,Boy,1981
607,Alejandro,2,Boy,1981
607,Alessandro,2,Boy,1981
607,Allister,2,Boy,1981
607,Aly,2,Boy,1981
607,Aman,2,Boy,1981
607,Amandeep,2,Boy,1981
607,Amish,2,Boy,1981
607,Anant,2,Boy,1981
607,Anderson,2,Boy,1981
607,Andriy,2,Boy,1981
607,Anh,2,Boy,1981
607,Anthoney,2,Boy,1981
607,Antoine,2,Boy,1981
607,Ari,2,Boy,1981
607,Arlen,2,Boy,1981
607,Aron,2,Boy,1981
607,Aubrey,2,Boy,1981
607,August,2,Boy,1981
607,Avery,2,Boy,1981
607,Barinder,2,Boy,1981
607,Bassam,2,Boy,1981
607,Benjiman,2,Boy,1981
607,Bernhart,2,Boy,1981
607,Bernie,2,Boy,1981
607,Bill,2,Boy,1981
607,Billy-Joe,2,Boy,1981
607,Blane,2,Boy,1981
607,Blayne,2,Boy,1981
607,Blaze,2,Boy,1981
607,Bob,2,Boy,1981
607,Bret,2,Boy,1981
607,Brien,2,Boy,1981
607,Brooke,2,Boy,1981
607,Bryant,2,Boy,1981
607,Bryn,2,Boy,1981
607,Buddy,2,Boy,1981
607,Cade,2,Boy,1981
607,Cal,2,Boy,1981
607,Carey,2,Boy,1981
607,Cassidy,2,Boy,1981
607,Cedrick,2,Boy,1981
607,Chadrick,2,Boy,1981
607,Chandler,2,Boy,1981
607,Charlton,2,Boy,1981
607,Chi,2,Boy,1981
607,Christoper,2,Boy,1981
607,Christos,2,Boy,1981
607,Codey,2,Boy,1981
607,Coleman,2,Boy,1981
607,Conan,2,Boy,1981
607,Corry,2,Boy,1981
607,Cyrus,2,Boy,1981
607,Dakota,2,Boy,1981
607,Dan,2,Boy,1981
607,Dany,2,Boy,1981
607,Darcey,2,Boy,1981
607,Darius,2,Boy,1981
607,Darwin,2,Boy,1981
607,Daylan,2,Boy,1981
607,Dayle,2,Boy,1981
607,Deacon,2,Boy,1981
607,Delano,2,Boy,1981
607,Delbert,2,Boy,1981
607,Denton,2,Boy,1981
607,Dereck,2,Boy,1981
607,Derik,2,Boy,1981
607,Desi,2,Boy,1981
607,Deven,2,Boy,1981
607,Doyle,2,Boy,1981
607,Dwain,2,Boy,1981
607,Eamon,2,Boy,1981
607,Edmond,2,Boy,1981
607,Edmund,2,Boy,1981
607,Ehab,2,Boy,1981
607,Elton,2,Boy,1981
607,Emmanuel,2,Boy,1981
607,Ernie,2,Boy,1981
607,Erwin,2,Boy,1981
607,Fady,2,Boy,1981
607,Faisal,2,Boy,1981
607,Faiz,2,Boy,1981
607,Felix,2,Boy,1981
607,Feroz,2,Boy,1981
607,Francesco,2,Boy,1981
607,Francisco,2,Boy,1981
607,Franco,2,Boy,1981
607,Franklin,2,Boy,1981
607,Fred,2,Boy,1981
607,Frederic,2,Boy,1981
607,Gaelen,2,Boy,1981
607,Garvin,2,Boy,1981
607,Gene,2,Boy,1981
607,Geordie,2,Boy,1981
607,Gerry,2,Boy,1981
607,Giancarlo,2,Boy,1981
607,Gianni,2,Boy,1981
607,Gibson,2,Boy,1981
607,Gino,2,Boy,1981
607,Giovanni,2,Boy,1981
607,Graydon,2,Boy,1981
607,Grayham,2,Boy,1981
607,Grayson,2,Boy,1981
607,Gregg,2,Boy,1981
607,Gurpreet,2,Boy,1981
607,Hans,2,Boy,1981
607,Harinder,2,Boy,1981
607,Harpreet,2,Boy,1981
607,Harry,2,Boy,1981
607,Harvey,2,Boy,1981
607,Harvir,2,Boy,1981
607,Hector,2,Boy,1981
607,Hendrik,2,Boy,1981
607,Jace,2,Boy,1981
607,Jamison,2,Boy,1981
607,Jari,2,Boy,1981
607,Jarold,2,Boy,1981
607,Javier,2,Boy,1981
607,Jayme,2,Boy,1981
607,Jean-Michel,2,Boy,1981
607,Jean-Pierre,2,Boy,1981
607,Jeb,2,Boy,1981
607,Jeramie,2,Boy,1981
607,Jeremey,2,Boy,1981
607,Jerett,2,Boy,1981
607,Jerrad,2,Boy,1981
607,Jerrett,2,Boy,1981
607,Jerrit,2,Boy,1981
607,Jessy,2,Boy,1981
607,Jevon,2,Boy,1981
607,Jivan,2,Boy,1981
607,Joesph,2,Boy,1981
607,Joffre,2,Boy,1981
607,Jorden,2,Boy,1981
607,Josiah,2,Boy,1981
607,Judd,2,Boy,1981
607,Julius,2,Boy,1981
607,Kalvin,2,Boy,1981
607,Karam,2,Boy,1981
607,Karman,2,Boy,1981
607,Kassem,2,Boy,1981
607,Kennith,2,Boy,1981
607,Kerry,2,Boy,1981
607,Kim,2,Boy,1981
607,Klayton,2,Boy,1981
607,Kody,2,Boy,1981
607,Konrad,2,Boy,1981
607,Korey,2,Boy,1981
607,Kori,2,Boy,1981
607,Kostas,2,Boy,1981
607,Kristin,2,Boy,1981
607,Kristofor,2,Boy,1981
607,Lanny,2,Boy,1981
607,Lauren,2,Boy,1981
607,Layne,2,Boy,1981
607,Levon,2,Boy,1981
607,Lionel,2,Boy,1981
607,Lonnie,2,Boy,1981
607,Loren,2,Boy,1981
607,Luigi,2,Boy,1981
607,Lyndsey,2,Boy,1981
607,Mandeep,2,Boy,1981
607,Marcello,2,Boy,1981
607,Marlon,2,Boy,1981
607,Marvin,2,Boy,1981
607,Marwan,2,Boy,1981
607,Matthieu,2,Boy,1981
607,Mauricio,2,Boy,1981
607,Max,2,Boy,1981
607,Mazen,2,Boy,1981
607,Micah,2,Boy,1981
607,Michele,2,Boy,1981
607,Mikael,2,Boy,1981
607,Mikeal,2,Boy,1981
607,Mitch,2,Boy,1981
607,Mitesh,2,Boy,1981
607,Mohammed,2,Boy,1981
607,Morris,2,Boy,1981
607,Muneer,2,Boy,1981
607,Murphy,2,Boy,1981
607,Nabil,2,Boy,1981
607,Nader,2,Boy,1981
607,Navdeep,2,Boy,1981
607,Navraj,2,Boy,1981
607,Nels,2,Boy,1981
607,Niall,2,Boy,1981
607,Niel,2,Boy,1981
607,Niels,2,Boy,1981
607,Nikolas,2,Boy,1981
607,Nitin,2,Boy,1981
607,Olivier,2,Boy,1981
607,Orion,2,Boy,1981
607,Orrin,2,Boy,1981
607,Pasquale,2,Boy,1981
607,Phong,2,Boy,1981
607,Pieter,2,Boy,1981
607,Rajeev,2,Boy,1981
607,Rajiv,2,Boy,1981
607,Rammy,2,Boy,1981
607,Ramze,2,Boy,1981
607,Randolph,2,Boy,1981
607,Raphael,2,Boy,1981
607,Ravi,2,Boy,1981
607,Ray,2,Boy,1981
607,Renato,2,Boy,1981
607,Riyaz,2,Boy,1981
607,Rizwan,2,Boy,1981
607,Rodger,2,Boy,1981
607,Rodrick,2,Boy,1981
607,Rodrigo,2,Boy,1981
607,Rolando,2,Boy,1981
607,Roman,2,Boy,1981
607,Ronan,2,Boy,1981
607,Ronny,2,Boy,1981
607,Ronson,2,Boy,1981
607,Rowan,2,Boy,1981
607,Said,2,Boy,1981
607,Sami,2,Boy,1981
607,Samson,2,Boy,1981
607,Sandeep,2,Boy,1981
607,Sasha,2,Boy,1981
607,Sebastian,2,Boy,1981
607,Shaminder,2,Boy,1981
607,Shamsher,2,Boy,1981
607,Shaughnessy,2,Boy,1981
607,Shea,2,Boy,1981
607,Sidney,2,Boy,1981
607,Simeon,2,Boy,1981
607,Sohail,2,Boy,1981
607,Stephane,2,Boy,1981
607,Sydney,2,Boy,1981
607,Syed,2,Boy,1981
607,Sylvester,2,Boy,1981
607,Tajinder,2,Boy,1981
607,Tareck,2,Boy,1981
607,Terance,2,Boy,1981
607,Thanh,2,Boy,1981
607,Tylor,2,Boy,1981
607,Tyron,2,Boy,1981
607,Tysen,2,Boy,1981
607,Van,2,Boy,1981
607,Viet,2,Boy,1981
607,Vijay,2,Boy,1981
607,Vinh,2,Boy,1981
607,Vinson,2,Boy,1981
607,Wai,2,Boy,1981
607,Walker,2,Boy,1981
607,Wesam,2,Boy,1981
607,Willard,2,Boy,1981
607,Wilson,2,Boy,1981
607,Youssef,2,Boy,1981
607,Yuri,2,Boy,1981
607,Zenon,2,Boy,1981
865,Aadam,1,Boy,1981
865,Aadil,1,Boy,1981
865,Aaleem,1,Boy,1981
865,Aarif,1,Boy,1981
865,Aatif,1,Boy,1981
865,Abbas,1,Boy,1981
865,Abdlmgid,1,Boy,1981
865,Abdon,1,Boy,1981
865,Abdul,1,Boy,1981
865,Abdulbaseer,1,Boy,1981
865,Abdullah,1,Boy,1981
865,Abed-Alrohman,1,Boy,1981
865,Abel,1,Boy,1981
865,Abhinesh,1,Boy,1981
865,Ace,1,Boy,1981
865,Acheson,1,Boy,1981
865,Adam-Wade,1,Boy,1981
865,Addison,1,Boy,1981
865,Adeel,1,Boy,1981
865,Aden,1,Boy,1981
865,Adeseye,1,Boy,1981
865,Adesina,1,Boy,1981
865,Adib,1,Boy,1981
865,Adley,1,Boy,1981
865,Adnan,1,Boy,1981
865,Adonia,1,Boy,1981
865,Adriano,1,Boy,1981
865,Adriel,1,Boy,1981
865,Afiz,1,Boy,1981
865,Ahley,1,Boy,1981
865,Ainsley,1,Boy,1981
865,Ajeet,1,Boy,1981
865,Ajoy,1,Boy,1981
865,Akashdeep,1,Boy,1981
865,Akrum,1,Boy,1981
865,Alasdair,1,Boy,1981
865,Albano,1,Boy,1981
865,Alexandar,1,Boy,1981
865,Alexandrew,1,Boy,1981
865,Alexes,1,Boy,1981
865,Alfan,1,Boy,1981
865,Alhadi,1,Boy,1981
865,Alicsha,1,Boy,1981
865,Alif,1,Boy,1981
865,Ali-Khaled,1,Boy,1981
865,Alin,1,Boy,1981
865,Ali-Saabir,1,Boy,1981
865,Alison,1,Boy,1981
865,Al-Karim,1,Boy,1981
865,Alois,1,Boy,1981
865,Alok,1,Boy,1981
865,Alonso,1,Boy,1981
865,Alston,1,Boy,1981
865,Altaz,1,Boy,1981
865,Alton,1,Boy,1981
865,Alvarez,1,Boy,1981
865,Alvaro,1,Boy,1981
865,Alveen,1,Boy,1981
865,Aly-Khaan,1,Boy,1981
865,Alym,1,Boy,1981
865,Amanjit,1,Boy,1981
865,Amanpreet,1,Boy,1981
865,Amardip,1,Boy,1981
865,Amber,1,Boy,1981
865,Amgad,1,Boy,1981
865,Amin,1,Boy,1981
865,Amir,1,Boy,1981
865,Ammon,1,Boy,1981
865,Amrinder,1,Boy,1981
865,Amrit,1,Boy,1981
865,Amyn,1,Boy,1981
865,Anagnostis,1,Boy,1981
865,A'Nak'La,1,Boy,1981
865,Anas,1,Boy,1981
865,Anastasios-Dimitry,1,Boy,1981
865,Anden,1,Boy,1981
865,André,1,Boy,1981
865,Andry,1,Boy,1981
865,Aneel,1,Boy,1981
865,Anicete,1,Boy,1981
865,Anish,1,Boy,1981
865,Annunziato,1,Boy,1981
865,Anoop,1,Boy,1981
865,Anson,1,Boy,1981
865,Ante,1,Boy,1981
865,Anteur,1,Boy,1981
865,Anthonin,1,Boy,1981
865,Antonino,1,Boy,1981
865,Anwar,1,Boy,1981
865,Aquino,1,Boy,1981
865,Aramyl,1,Boy,1981
865,Arel,1,Boy,1981
865,Arend,1,Boy,1981
865,Arian,1,Boy,1981
865,Aric,1,Boy,1981
865,Arin,1,Boy,1981
865,Arlan,1,Boy,1981
865,Arlin,1,Boy,1981
865,Arlis,1,Boy,1981
865,Arliss,1,Boy,1981
865,Armand,1,Boy,1981
865,Armin,1,Boy,1981
865,Arnout,1,Boy,1981
865,Arpi,1,Boy,1981
865,Arther,1,Boy,1981
865,Artur,1,Boy,1981
865,Ashford,1,Boy,1981
865,Ashifali,1,Boy,1981
865,Ashish,1,Boy,1981
865,Ashly,1,Boy,1981
865,Ashok,1,Boy,1981
865,Ashoka,1,Boy,1981
865,Assad,1,Boy,1981
865,Athiraj,1,Boy,1981
865,Atif,1,Boy,1981
865,Audi,1,Boy,1981
865,Aurelle,1,Boy,1981
865,Austen,1,Boy,1981
865,Avenell,1,Boy,1981
865,Averell,1,Boy,1981
865,Avi,1,Boy,1981
865,Avro,1,Boy,1981
865,Axel,1,Boy,1981
865,Aymen,1,Boy,1981
865,Aziz,1,Boy,1981
865,Ba,1,Boy,1981
865,Baback,1,Boy,1981
865,Balwinder,1,Boy,1981
865,Bao,1,Boy,1981
865,Barend,1,Boy,1981
865,Barett,1,Boy,1981
865,Bartley,1,Boy,1981
865,Basil,1,Boy,1981
865,Basilios,1,Boy,1981
865,Bastian,1,Boy,1981
865,Beavan,1,Boy,1981
865,Beejay,1,Boy,1981
865,Behn,1,Boy,1981
865,Bellal,1,Boy,1981
865,Benjamen,1,Boy,1981
865,Benny,1,Boy,1981
865,Benson,1,Boy,1981
865,Bernardo,1,Boy,1981
865,Bernerd,1,Boy,1981
865,Bernhardt,1,Boy,1981
865,Bernhord,1,Boy,1981
865,Berton,1,Boy,1981
865,Bertram,1,Boy,1981
865,Bethel,1,Boy,1981
865,Beverley,1,Boy,1981
865,Bhavesh,1,Boy,1981
865,Bijhan,1,Boy,1981
865,Biju,1,Boy,1981
865,Bikramjit,1,Boy,1981
865,Bilal,1,Boy,1981
865,Billie-Joe,1,Boy,1981
865,Billy-Joel,1,Boy,1981
865,Binh,1,Boy,1981
865,Birju,1,Boy,1981
865,Birkley,1,Boy,1981
865,Bj,1,Boy,1981
865,Bjorn,1,Boy,1981
865,Blaec,1,Boy,1981
865,Blakely,1,Boy,1981
865,Bo,1,Boy,1981
865,Bobbi,1,Boy,1981
865,Bobby-Jo,1,Boy,1981
865,Bohdyn,1,Boy,1981
865,Boris,1,Boy,1981
865,Botond,1,Boy,1981
865,Bowen,1,Boy,1981
865,Bradlee,1,Boy,1981
865,Bradley-Everett,1,Boy,1981
865,Bradon,1,Boy,1981
865,Bradyn,1,Boy,1981
865,Braedon,1,Boy,1981
865,Braidon,1,Boy,1981
865,Bramwell,1,Boy,1981
865,Brandan,1,Boy,1981
865,Brandt,1,Boy,1981
865,Brave,1,Boy,1981
865,Brawimir,1,Boy,1981
865,Breck,1,Boy,1981
865,Breen,1,Boy,1981
865,Brenden,1,Boy,1981
865,Brenndon,1,Boy,1981
865,Brenton,1,Boy,1981
865,Bretan,1,Boy,1981
865,Breton,1,Boy,1981
865,Bretton,1,Boy,1981
865,Brice,1,Boy,1981
865,Brigham,1,Boy,1981
865,Brijanand,1,Boy,1981
865,Brine,1,Boy,1981
865,Broden,1,Boy,1981
865,Brodie,1,Boy,1981
865,Brook,1,Boy,1981
865,Brooks,1,Boy,1981
865,Brux,1,Boy,1981
865,Brydan,1,Boy,1981
865,Buckly,1,Boy,1981
865,Buddie,1,Boy,1981
865,Byran,1,Boy,1981
865,Caelan,1,Boy,1981
865,Cailen,1,Boy,1981
865,Calder,1,Boy,1981
865,Callen,1,Boy,1981
865,Callum,1,Boy,1981
865,Cally,1,Boy,1981
865,Calum,1,Boy,1981
865,Calvyn,1,Boy,1981
865,Camil,1,Boy,1981
865,Camile,1,Boy,1981
865,Camilo,1,Boy,1981
865,Campbell,1,Boy,1981
865,Cao,1,Boy,1981
865,Carlisle,1,Boy,1981
865,Carlo,1,Boy,1981
865,Carlyle,1,Boy,1981
865,Carter,1,Boy,1981
865,Cashman,1,Boy,1981
865,Cassim,1,Boy,1981
865,Cavan,1,Boy,1981
865,Cayle,1,Boy,1981
865,Caylen,1,Boy,1981
865,Cecil,1,Boy,1981
865,Cedric,1,Boy,1981
865,Chadd,1,Boy,1981
865,Chadron,1,Boy,1981
865,Chadwell,1,Boy,1981
865,Chady,1,Boy,1981
865,Chandley,1,Boy,1981
865,Chanley,1,Boy,1981
865,Chanse,1,Boy,1981
865,Charbel,1,Boy,1981
865,Charlie,1,Boy,1981
865,Charly-Anthony,1,Boy,1981
865,Chas,1,Boy,1981
865,Che,1,Boy,1981
865,Cheldon,1,Boy,1981
865,Cheney,1,Boy,1981
865,Chester,1,Boy,1981
865,Chet,1,Boy,1981
865,Chetan,1,Boy,1981
865,Chetwynd,1,Boy,1981
865,Chevy,1,Boy,1981
865,Chidi,1,Boy,1981
865,Chikayuki,1,Boy,1981
865,Chislain,1,Boy,1981
865,Chistopher,1,Boy,1981
865,Chiu,1,Boy,1981
865,Chi-Yung,1,Boy,1981
865,Chrisopher,1,Boy,1981
865,Christen,1,Boy,1981
865,Christien,1,Boy,1981
865,Christin,1,Boy,1981
865,Christo,1,Boy,1981
865,Christofer,1,Boy,1981
865,Christoffer,1,Boy,1981
865,Christoopher,1,Boy,1981
865,Christophoros,1,Boy,1981
865,Christorpher,1,Boy,1981
865,Chuong,1,Boy,1981
865,Ciaran,1,Boy,1981
865,Claude-Yve,1,Boy,1981
865,Claudie,1,Boy,1981
865,Claudio,1,Boy,1981
865,Clayton-Dean,1,Boy,1981
865,Clemens,1,Boy,1981
865,Cleo,1,Boy,1981
865,Clevelan,1,Boy,1981
865,Cliff,1,Boy,1981
865,Cliffton,1,Boy,1981
865,Clive,1,Boy,1981
865,Cloud,1,Boy,1981
865,Coaltan,1,Boy,1981
865,Codi,1,Boy,1981
865,Codie,1,Boy,1981
865,Collon,1,Boy,1981
865,Colorado,1,Boy,1981
865,Colson,1,Boy,1981
865,Colten,1,Boy,1981
865,Colter,1,Boy,1981
865,Colton,1,Boy,1981
865,Conlan,1,Boy,1981
865,Conray,1,Boy,1981
865,Conroy,1,Boy,1981
865,Constantinos,1,Boy,1981
865,Cooper,1,Boy,1981
865,Cordel,1,Boy,1981
865,Cori,1,Boy,1981
865,Coridon,1,Boy,1981
865,Corley,1,Boy,1981
865,Cornelius,1,Boy,1981
865,Cornie,1,Boy,1981
865,Corr,1,Boy,1981
865,Cort-John,1,Boy,1981
865,Cortley,1,Boy,1981
865,Cortny,1,Boy,1981
865,Creag,1,Boy,1981
865,Creighton,1,Boy,1981
865,Cristian,1,Boy,1981
865,Cristoforo,1,Boy,1981
865,Cristopher,1,Boy,1981
865,Cullen,1,Boy,1981
865,Cuong,1,Boy,1981
865,Curt-William,1,Boy,1981
865,Dacota,1,Boy,1981
865,Daemion,1,Boy,1981
865,Dai,1,Boy,1981
865,Daiyu,1,Boy,1981
865,Dallis,1,Boy,1981
865,Dalon,1,Boy,1981
865,Dalton,1,Boy,1981
865,Damandip,1,Boy,1981
865,Damen,1,Boy,1981
865,Damion,1,Boy,1981
865,Danneil,1,Boy,1981
865,Danniel,1,Boy,1981
865,Danson,1,Boy,1981
865,Danyo,1,Boy,1981
865,Daorcey,1,Boy,1981
865,D'Arcy,1,Boy,1981
865,Darek,1,Boy,1981
865,Daren,1,Boy,1981
865,Darick,1,Boy,1981
865,Darien,1,Boy,1981
865,Darnel,1,Boy,1981
865,Darnell,1,Boy,1981
865,Darragh,1,Boy,1981
865,Darrien,1,Boy,1981
865,Darron,1,Boy,1981
865,Darryn,1,Boy,1981
865,Darwish,1,Boy,1981
865,Darwon,1,Boy,1981
865,Daryk,1,Boy,1981
865,Daryn,1,Boy,1981
865,Dason,1,Boy,1981
865,Davide,1,Boy,1981
865,David-Jon,1,Boy,1981
865,Davis,1,Boy,1981
865,Davyde,1,Boy,1981
865,Deane,1,Boy,1981
865,Decody,1,Boy,1981
865,Deepak,1,Boy,1981
865,Deiter,1,Boy,1981
865,Dekota,1,Boy,1981
865,Del,1,Boy,1981
865,Delaney,1,Boy,1981
865,Deleted,1,Boy,1981
865,Delford,1,Boy,1981
865,Dellon,1,Boy,1981
865,Delwyn,1,Boy,1981
865,Demetre,1,Boy,1981
865,Demian,1,Boy,1981
865,Dempsey,1,Boy,1981
865,Denim,1,Boy,1981
865,Denislav,1,Boy,1981
865,Deon,1,Boy,1981
865,Deric,1,Boy,1981
865,Derrek,1,Boy,1981
865,Derric,1,Boy,1981
865,Derrik,1,Boy,1981
865,Derwun,1,Boy,1981
865,Dev,1,Boy,1981
865,Deva,1,Boy,1981
865,Devan,1,Boy,1981
865,Devlin,1,Boy,1981
865,Devyn,1,Boy,1981
865,Dexter,1,Boy,1981
865,Dick,1,Boy,1981
865,Dillian,1,Boy,1981
865,Dilraj,1,Boy,1981
865,Dimitre,1,Boy,1981
865,Dimitrios,1,Boy,1981
865,Dino,1,Boy,1981
865,Dionysius,1,Boy,1981
865,Divine,1,Boy,1981
865,Dle,1,Boy,1981
865,Dolon,1,Boy,1981
865,Domenico,1,Boy,1981
865,Domingos,1,Boy,1981
865,Donal,1,Boy,1981
865,Donavin,1,Boy,1981
865,Donavon,1,Boy,1981
865,Dong,1,Boy,1981
865,Doniven,1,Boy,1981
865,Donny,1,Boy,1981
865,Doran,1,Boy,1981
865,Dorvan,1,Boy,1981
865,Dory,1,Boy,1981
865,Drago,1,Boy,1981
865,Duc,1,Boy,1981
865,Duffin,1,Boy,1981
865,Duke,1,Boy,1981
865,Dunynel,1,Boy,1981
865,Duy,1,Boy,1981
865,Dwaine,1,Boy,1981
865,Dwane,1,Boy,1981
865,Ebraheem,1,Boy,1981
865,Edbert,1,Boy,1981
865,Eddie,1,Boy,1981
865,Edin,1,Boy,1981
865,Edric,1,Boy,1981
865,Eibert,1,Boy,1981
865,Eifar,1,Boy,1981
865,Elbert-Michael,1,Boy,1981
865,Elden,1,Boy,1981
865,Eldon,1,Boy,1981
865,Eldwin,1,Boy,1981
865,Elgin,1,Boy,1981
865,Elia,1,Boy,1981
865,Elisha,1,Boy,1981
865,Elvin,1,Boy,1981
865,Elvir,1,Boy,1981
865,Elvis,1,Boy,1981
865,Emad,1,Boy,1981
865,Emanuel,1,Boy,1981
865,Emem,1,Boy,1981
865,Emerson,1,Boy,1981
865,Emil,1,Boy,1981
865,Emile,1,Boy,1981
865,Emirick,1,Boy,1981
865,Emmett,1,Boy,1981
865,Emmit,1,Boy,1981
865,Enrico,1,Boy,1981
865,Enrique,1,Boy,1981
865,Erick,1,Boy,1981
865,Errez,1,Boy,1981
865,Errol,1,Boy,1981
865,Erun,1,Boy,1981
865,Ervin,1,Boy,1981
865,Esben,1,Boy,1981
865,Esed,1,Boy,1981
865,Esteban,1,Boy,1981
865,Etiene,1,Boy,1981
865,Etienne,1,Boy,1981
865,Euan,1,Boy,1981
865,Evagelos,1,Boy,1981
865,Everette,1,Boy,1981
865,Everton,1,Boy,1981
865,Ewen,1,Boy,1981
865,Ezekial,1,Boy,1981
865,Ezekiel,1,Boy,1981
865,Ezra,1,Boy,1981
865,Fabbian,1,Boy,1981
865,Fabrizio,1,Boy,1981
865,Fadi,1,Boy,1981
865,Fahed,1,Boy,1981
865,Faizal,1,Boy,1981
865,Fallon,1,Boy,1981
865,Fareed,1,Boy,1981
865,Farhan,1,Boy,1981
865,Faron,1,Boy,1981
865,Farron,1,Boy,1981
865,Farrukh,1,Boy,1981
865,Farshad,1,Boy,1981
865,Fausto,1,Boy,1981
865,Fawad,1,Boy,1981
865,Felipe,1,Boy,1981
865,Feodor,1,Boy,1981
865,Feras,1,Boy,1981
865,Ferenc,1,Boy,1981
865,Fernand,1,Boy,1981
865,Fernando,1,Boy,1981
865,Feross,1,Boy,1981
865,Ferris,1,Boy,1981
865,Filip,1,Boy,1981
865,Firmanshah,1,Boy,1981
865,Fletcher,1,Boy,1981
865,Florent,1,Boy,1981
865,Fong,1,Boy,1981
865,Forestt,1,Boy,1981
865,Foti,1,Boy,1981
865,Fouad,1,Boy,1981
865,Francis-Dean,1,Boy,1981
865,Frangiskos,1,Boy,1981
865,Frankie,1,Boy,1981
865,Freddie,1,Boy,1981
865,Frederico,1,Boy,1981
865,Freeman,1,Boy,1981
865,Froilan,1,Boy,1981
865,Gabriele,1,Boy,1981
865,Gairod,1,Boy,1981
865,Garfield,1,Boy,1981
865,Garnett,1,Boy,1981
865,Garratt,1,Boy,1981
865,Garren,1,Boy,1981
865,Garrick,1,Boy,1981
865,Garron,1,Boy,1981
865,Gaston,1,Boy,1981
865,Gaven,1,Boy,1981
865,Geffrey,1,Boy,1981
865,Gelsomino,1,Boy,1981
865,Gentatsu,1,Boy,1981
865,Geoff,1,Boy,1981
865,Geoffery,1,Boy,1981
865,Geoffry,1,Boy,1981
865,Geordee,1,Boy,1981
865,Georgios,1,Boy,1981
865,Geremy,1,Boy,1981
865,Gerrad,1,Boy,1981
865,Gerrett,1,Boy,1981
865,Gerrod,1,Boy,1981
865,Gerron,1,Boy,1981
865,Gesen,1,Boy,1981
865,Glendon,1,Boy,1981
865,Goce,1,Boy,1981
865,Gõvan,1,Boy,1981
865,Go-Ya,1,Boy,1981
865,Graig,1,Boy,1981
865,Gregery,1,Boy,1981
865,Greggory,1,Boy,1981
865,Gregorie,1,Boy,1981
865,Gregory-Lea,1,Boy,1981
865,Greyson,1,Boy,1981
865,Griffin,1,Boy,1981
865,Guaran,1,Boy,1981
865,Guillaume,1,Boy,1981
865,Gunnar,1,Boy,1981
