"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 1980  To:  Dec 31, 2021",,,,
Ranking by Gender & Year,First Name,Frequency,Gender,Year
194,Steve,14,Boy,1980
202,Conrad,13,Boy,1980
202,Drew,13,Boy,1980
202,Jessie,13,Boy,1980
202,Larry,13,Boy,1980
202,Marcel,13,Boy,1980
202,Owen,13,Boy,1980
202,Seth,13,Boy,1980
202,Spencer,13,Boy,1980
202,Stanley,13,Boy,1980
202,Tanner,13,Boy,1980
212,Bernard,12,Boy,1980
212,Henry,12,Boy,1980
212,Lorne,12,Boy,1980
212,Neal,12,Boy,1980
212,Quentin,12,Boy,1980
212,Taylor,12,Boy,1980
212,Terrance,12,Boy,1980
212,Vernon,12,Boy,1980
220,Brendon,11,Boy,1980
220,Brock,11,Boy,1980
220,Collin,11,Boy,1980
220,Duncan,11,Boy,1980
220,Garth,11,Boy,1980
220,Graeme,11,Boy,1980
220,Jean,11,Boy,1980
220,Logan,11,Boy,1980
220,Nickolas,11,Boy,1980
220,Randall,11,Boy,1980
220,Riley,11,Boy,1980
220,Roderick,11,Boy,1980
232,Andy,10,Boy,1980
232,Billy,10,Boy,1980
232,Courtney,10,Boy,1980
232,Denis,10,Boy,1980
232,Fraser,10,Boy,1980
232,Gabriel,10,Boy,1980
232,Howard,10,Boy,1980
232,Jayson,10,Boy,1980
232,Jimmy,10,Boy,1980
232,Johnathan,10,Boy,1980
232,Kelsey,10,Boy,1980
232,Kenny,10,Boy,1980
232,Kerry,10,Boy,1980
232,Kristian,10,Boy,1980
232,Louis,10,Boy,1980
232,Mathieu,10,Boy,1980
232,Stefan,10,Boy,1980
232,Terrence,10,Boy,1980
250,Bradly,9,Boy,1980
250,Connor,9,Boy,1980
250,Dion,9,Boy,1980
250,Eugene,9,Boy,1980
250,Garett,9,Boy,1980
250,Garry,9,Boy,1980
250,Greg,9,Boy,1980
250,Guy,9,Boy,1980
250,Harley,9,Boy,1980
250,Hussein,9,Boy,1980
250,Ivan,9,Boy,1980
250,Jackson,9,Boy,1980
250,Jordon,9,Boy,1980
250,Kim,9,Boy,1980
250,Kirby,9,Boy,1980
250,Leo,9,Boy,1980
250,Leonard,9,Boy,1980
250,Mohamed,9,Boy,1980
250,Nelson,9,Boy,1980
250,Ricardo,9,Boy,1980
250,Ricky,9,Boy,1980
250,Roy,9,Boy,1980
250,Walter,9,Boy,1980
273,Ali,8,Boy,1980
273,Antonio,8,Boy,1980
273,Ben,8,Boy,1980
273,Caleb,8,Boy,1980
273,Damien,8,Boy,1980
273,Darin,8,Boy,1980
273,Davin,8,Boy,1980
273,Don,8,Boy,1980
273,Dusty,8,Boy,1980
273,Edwin,8,Boy,1980
273,Elijah,8,Boy,1980
273,Francis,8,Boy,1980
273,Jerry,8,Boy,1980
273,Kelvin,8,Boy,1980
273,Kenton,8,Boy,1980
273,Lane,8,Boy,1980
273,Liam,8,Boy,1980
273,Marcus,8,Boy,1980
273,Oliver,8,Boy,1980
273,Preston,8,Boy,1980
273,Trenton,8,Boy,1980
273,Tristan,8,Boy,1980
273,Wyatt,8,Boy,1980
296,Brady,7,Boy,1980
296,Colby,7,Boy,1980
